province,region,total,before_1980,between_1981_2000,after_2001,unknown,pct_before_1980,pct_1981_2000,pct_after_2001,pct_unknown,seismic_hazard,liquefaction_risk
Adana,Akdeniz,632875,82344,220496,244668,85367,13.01,34.84,38.66,13.49,High,High
Adıyaman,Güneydoğu Anadolu,155300,13547,36586,81271,23896,8.72,23.56,52.33,15.39,Very High,Very Low
Afyonkarahisar,Ege,218348,30474,64252,85170,38453,13.96,29.43,39.01,17.61,High,Medium
Ağrı,Doğu Anadolu,109974,10532,21669,58638,19135,9.58,19.7,53.32,17.4,High,Very Low
Aksaray,İç Anadolu,123019,16734,39811,64989,1485,13.6,32.36,52.83,1.21,Medium,Very Low
Amasya,Karadeniz,109469,14754,38283,48270,8162,13.48,34.97,44.09,7.46,Medium,Very Low
Ankara,İç Anadolu,1874093,192900,510480,1023530,147184,10.29,27.24,54.61,7.85,Medium,Very Low
Antalya,Akdeniz,858107,63422,231300,457043,106342,7.39,26.95,53.26,12.39,High,High
Ardahan,Doğu Anadolu,28669,5809,4403,12451,6006,20.26,15.36,43.43,20.95,High,Very Low
Artvin,Karadeniz,58847,13722,14492,22596,8037,23.32,24.63,38.4,13.66,Medium,Very Low
Aydın,Ege,391460,66884,132190,155356,37029,17.09,33.77,39.69,9.46,High,Medium
Balıkesir,Ege,456193,86368,168535,178977,22313,18.93,36.94,39.23,4.89,High,Medium
Bartın,Karadeniz,67709,13453,26508,22786,4962,19.87,39.15,33.65,7.33,Medium,Medium
Batman,Güneydoğu Anadolu,124388,9278,22716,65971,26423,7.46,18.26,53.04,21.24,High,Very Low
Bayburt,Karadeniz,24347,5480,6524,11975,368,22.51,26.8,49.18,1.51,Medium,Very Low
Bilecik,Marmara,72972,12384,18759,34566,7262,16.97,25.71,47.37,9.95,High,Medium
Bingöl,Doğu Anadolu,76458,5731,13152,53396,4180,7.5,17.2,69.84,5.47,Very High,Very Low
Bitlis,Doğu Anadolu,79417,6496,17079,45435,10407,8.18,21.51,57.21,13.1,High,Very Low
Bolu,Karadeniz,104358,15615,33355,48044,7345,14.96,31.96,46.04,7.04,Very High,Very Low
Burdur,Akdeniz,96220,22097,28433,36381,9309,22.97,29.55,37.81,9.67,High,Medium
Bursa,Marmara,966765,113980,317559,436507,98719,11.79,32.85,45.15,10.21,High,Medium
Çanakkale,Marmara,204793,40080,65443,95363,3907,19.57,31.96,46.57,1.91,High,High
Çankırı,İç Anadolu,68624,13304,20000,33337,1983,19.39,29.14,48.58,2.89,Medium,Very Low
Çorum,Karadeniz,179367,24998,49420,74309,30640,13.94,27.55,41.43,17.08,Medium,Very Low
Denizli,Ege,353281,49879,121925,159055,22422,14.12,34.51,45.02,6.35,High,Medium
Diyarbakır,Güneydoğu Anadolu,394867,25818,104960,229532,34558,6.54,26.58,58.13,8.75,High,Very Low
Düzce,Karadeniz,119700,13552,38834,59496,7818,11.32,32.44,49.7,6.53,Very High,Medium
Edirne,Marmara,144147,29892,51154,55647,7454,20.74,35.49,38.6,5.17,High,High
Elazığ,Doğu Anadolu,173836,17396,41103,91777,23560,10.01,23.64,52.8,13.55,Very High,Very Low
Erzincan,Doğu Anadolu,75398,11255,21505,33061,9577,14.93,28.52,43.85,12.7,Very High,Very Low
Erzurum,Doğu Anadolu,197862,31945,58354,103385,4178,16.15,29.49,52.25,2.11,High,Very Low
Eskişehir,İç Anadolu,326876,34977,68113,175788,47998,10.7,20.84,53.78,14.68,Medium,Very Low
Gaziantep,Güneydoğu Anadolu,522947,34351,135511,269876,83209,6.57,25.91,51.61,15.91,Very High,Very Low
Giresun,Karadeniz,164548,32471,43044,68209,20824,19.73,26.16,41.45,12.66,Medium,Medium
Gümüşhane,Karadeniz,49045,10596,10857,22615,4978,21.6,22.14,46.11,10.15,Medium,Very Low
Hakkari,Doğu Anadolu,52571,1403,10309,31248,9612,2.67,19.61,59.44,18.28,High,Very Low
Hatay,Akdeniz,449151,60710,146509,224464,17468,13.52,32.62,49.98,3.89,Very High,Medium
Iğdır,Doğu Anadolu,49386,3322,9573,27760,8730,6.73,19.38,56.21,17.68,High,Very Low
Isparta,Akdeniz,151622,30347,48944,61607,10724,20.01,32.28,40.63,7.07,High,Low
İstanbul,Marmara,4755086,493276,1750833,2173468,337508,10.37,36.82,45.71,7.1,Very High,Very High
İzmir,Ege,1503086,214138,555205,609038,124705,14.25,36.94,40.52,8.3,High,Very High
Kahramanmaraş,Akdeniz,311458,36479,83717,181016,10247,11.71,26.88,58.12,3.29,Very High,Medium
Karabük,Karadeniz,85036,17551,22150,31341,13994,20.64,26.05,36.86,16.46,Medium,Very Low
Karaman,İç Anadolu,81356,16961,28289,36106,0,20.85,34.77,44.38,0.0,Medium,Very Low
Kars,Doğu Anadolu,72246,14770,12405,37047,8024,20.44,17.17,51.28,11.11,High,Very Low
Kastamonu,Karadeniz,130351,34097,35545,57321,3388,26.16,27.27,43.97,2.6,Medium,Very Low
Kayseri,İç Anadolu,424008,50806,100589,237440,35174,11.98,23.72,56.0,8.3,Medium,Very Low
Kırıkkale,İç Anadolu,91553,13620,28745,37443,11745,14.88,31.4,40.9,12.83,Medium,Very Low
Kırklareli,Marmara,128459,16375,37953,51345,22786,12.75,29.54,39.97,17.74,High,Medium
Kırşehir,İç Anadolu,76682,14885,24065,36899,833,19.41,31.38,48.12,1.09,Medium,Very Low
Kilis,Güneydoğu Anadolu,40020,4464,8680,20917,5959,11.15,21.69,52.27,14.89,High,Very Low
Kocaeli,Marmara,602601,59533,204950,292196,45922,9.88,34.01,48.49,7.62,Very High,Very High
Konya,İç Anadolu,664773,115050,202520,347203,0,17.31,30.46,52.23,0.0,Medium,Very Low
Kütahya,Ege,192678,41956,62677,79367,8678,21.78,32.53,41.19,4.5,High,Medium
Malatya,Doğu Anadolu,230499,32239,64869,111603,21787,13.99,28.14,48.42,9.45,Very High,Very Low
Manisa,Ege,475046,81849,147796,197130,48272,17.23,31.11,41.5,10.16,High,Medium
Mardin,Güneydoğu Anadolu,180355,18986,24045,109981,27343,10.53,13.33,60.98,15.16,High,Very Low
Mersin,Akdeniz,575635,65162,194159,248119,68195,11.32,33.73,43.1,11.85,High,High
Muğla,Ege,362287,56082,106834,146849,52522,15.48,29.49,40.53,14.5,High,Medium
Muş,Doğu Anadolu,86457,6955,20657,52848,5997,8.04,23.89,61.13,6.94,Very High,Very Low
Nevşehir,İç Anadolu,95941,20584,32894,39683,2780,21.45,34.29,41.36,2.9,Medium,Very Low
Niğde,İç Anadolu,112323,18607,32529,60069,1117,16.57,28.96,53.48,0.99,Medium,Very Low
Ordu,Karadeniz,265344,37435,75914,105495,46500,14.11,28.61,39.76,17.52,Medium,Medium
Osmaniye,Akdeniz,156199,16465,40070,72686,26979,10.54,25.65,46.53,17.27,Very High,Medium
Rize,Karadeniz,111428,25834,31779,40777,13038,23.18,28.52,36.59,11.7,Medium,Medium
Sakarya,Marmara,312767,34484,109427,146135,22721,11.03,34.99,46.72,7.26,Very High,Very High
Samsun,Karadeniz,424068,53066,135781,191669,43552,12.51,32.02,45.2,10.27,High,Medium
Siirt,Güneydoğu Anadolu,67578,5007,13789,42522,6260,7.41,20.4,62.92,9.26,High,Very Low
Sinop,Karadeniz,78098,16612,20673,28118,12695,21.27,26.47,36.0,16.26,Medium,Medium
Sivas,İç Anadolu,193486,26719,52465,90089,24213,13.81,27.12,46.56,12.51,Medium,Very Low
Şanlıurfa,Güneydoğu Anadolu,411421,22769,76306,251163,61183,5.53,18.55,61.05,14.87,High,Very Low
Şırnak,Güneydoğu Anadolu,95412,2476,13493,62779,16664,2.6,14.14,65.8,17.47,High,Very Low
Tekirdağ,Marmara,349057,22356,100940,193984,31778,6.4,28.92,55.57,9.1,High,High
Tokat,Karadeniz,191711,35061,62069,83674,10908,18.29,32.38,43.65,5.69,High,Very Low
Trabzon,Karadeniz,263340,52323,70150,112883,27984,19.87,26.64,42.87,10.63,Medium,Medium
Tunceli,Doğu Anadolu,29606,5086,6969,14746,2805,17.18,23.54,49.81,9.47,High,Very Low
Uşak,Ege,124856,25169,37276,52629,9782,20.16,29.86,42.15,7.83,High,Medium
Van,Doğu Anadolu,241504,10375,40555,164483,26092,4.3,16.79,68.11,10.8,Very High,Very Low
Yalova,Marmara,95085,8316,34236,41258,11275,8.75,36.01,43.39,11.86,Very High,Very High
Yozgat,İç Anadolu,134087,23322,46269,57016,7480,17.39,34.51,42.52,5.58,Medium,Very Low
Zonguldak,Karadeniz,199841,44205,72185,56274,27178,22.12,36.12,28.16,13.6,Medium,Medium
