,count,unique,top,freq,mean,min,25%,50%,75%,max,std
rms,524952.0,,,,0.4080093094797238,0.0,0.24,0.38,0.54,37.54,0.29474936991223327
eventID,524952.0,,,,396760.2056740426,50516.0,235013.75,416027.5,561255.25,695171.0,187600.40264039044
location,524939,79142,Sındırgı (Balıkesir),19840,,,,,,,
latitude,524952.0,,,,38.51766800431277,35.5,37.6256925,38.461595,39.2725025,42.5,1.2522474657764713
longitude,524952.0,,,,32.91588126082004,25.5,27.9775,30.806040000000003,37.810069999999996,45.0,5.5185816228151365
depth,524952.0,,,,8.169858806138464,0.0,6.99,7.0,7.13,191.3,5.414726042365489
type,524952,6,ML,369830,,,,,,,
magnitude,524952.0,,,,1.9809043493500365,0.2,1.4,1.9,2.5,7.7,0.7081761196422887
country,522167,9,Türkiye,513129,,,,,,,
province,524952,82,Muğla,62335,,,,,,,
district,524952,886,Merkez,19939,,,,,,,
neighborhood,426362,16340,Yaylacık,2813,,,,,,,
date,524952,,,,2017-08-26 20:19:51.003090176,1990-01-03 13:30:14,2013-03-07 13:11:05.850000128,2018-07-02 23:07:15.084999936,2023-03-08 00:17:26,2025-11-20 16:51:56,
isEventUpdate,524952,2,False,522872,,,,,,,
lastUpdateDate,2080,2080,2022-09-28T12:49:58.703487,1,,,,,,,
category,524952,2,Tremor,520849,,,,,,,
year,524952.0,,,,2017.166055182188,1990.0,2013.0,2018.0,2023.0,2025.0,6.21609051122962
month,524952.0,,,,6.35658498300797,1.0,3.0,6.0,9.0,12.0,3.4792018774070588
day,524952.0,,,,15.710872613115104,1.0,8.0,16.0,23.0,31.0,8.797727566331533
hour,524952.0,,,,11.495435773175453,0.0,6.0,11.0,17.0,23.0,6.924702047918802
day_of_week,524952.0,,,,2.955133040735153,0.0,1.0,3.0,5.0,6.0,1.9852251225725905
day_of_year,524952.0,,,,178.06705946448437,1.0,82.0,173.0,273.0,366.0,106.2474768246817
week_of_year,524952.0,,,,25.8887917371493,1.0,12.0,25.0,39.0,53.0,15.182638448527833
quarter,524952.0,,,,2.4510926713299503,1.0,1.0,2.0,3.0,4.0,1.1382290638559986
date_only,524952,10496,2020-01-25,732,,,,,,,
energy_joules,524952.0,,,,115462503787.76836,125892.54117941661,7943282.347242805,44668359.21509626,354813389.23357606,2.2387211385683468e+16,39947456802457.82
moment_dyne_cm,524952.0,,,,2.303779825996861e+22,2.5118864315095924e+16,1.5848931924611238e+18,8.912509381337514e+18,7.0794578438414025e+19,4.466835921509653e+27,7.970565513679145e+24
log_energy,524952.0,,,,7.771356524025056,5.1,6.8999999999999995,7.6499999999999995,8.55,16.35,1.062264179463433
log_moment,524952.0,,,,19.071356524025052,16.400000000000002,18.200000000000003,18.950000000000003,19.85,27.650000000000002,1.0622641794634327
depth_class,524952,4,Very Shallow (0-10 km),457482,,,,,,,
magnitude_bin,524952,7,0-2,304627,,,,,,,
fault_distance_km,4103.0,,,,96.30632031955962,0.9741811219931098,43.321753347323224,70.94900839387135,126.93522039082085,449.722979038576,74.94729757963769
province_std,524952,82,MUGLA,62335,,,,,,,
soil_class,515089,3,ZC,283216,,,,,,,
vs30,515089.0,,,,340.0743405508563,150.0,265.0,315.0,448.0,570.0,113.75948069774954
liquefaction_risk,515089,5,Medium,237740,,,,,,,
seismic_hazard,515089,3,High,300932,,,,,,,
geology_type,515089,7,Graben sediments,216290,,,,,,,
tectonic_setting,515089,7,Active extension,216290,,,,,,,
moon_phase,524952,4,Waning,304525,,,,,,,
illumination,524952.0,,,,49.955899267456815,0.0003947514051105,14.777505874633787,49.844825744628906,85.02394104003906,99.99915313720705,35.232480727695446
moon_age,524952.0,,,,14.747849898657407,0.0,4.4,14.7,25.1,29.5,10.40082189709212
pressure_hpa,524952.0,,,,900.8654699858272,880.0,896.2,900.8,905.6,935.9,7.88629407278959
pressure_change,524952.0,,,,0.016477887502095438,-44.1,-5.7,0.1,5.9,45.1,10.016535619419784
population_density,514965.0,,,,120.59075762430454,10.3,56.3,77.8,110.2,3061.6,217.4964974711478
