Variable,Coefficient,Std Error,t-value,p-value
const,3.5292921579251484,0.01145925555041901,307.98616388270517,0.0
depth,0.0027021062354290995,0.0005897976343492836,4.581412467702248,4.762887380407909e-06
fault_distance_km,-0.00010066043510372874,0.00010887874423621357,-0.9245187002280709,0.3552735474910491
geo_Limestone/alluvium,0.38951125155991473,0.0078030785109468636,49.91763840559507,0.0
geo_Metamorphic/volcanic,0.38858672431126384,0.014733188190898385,26.374924373213275,3.3358275054671284e-141
geo_Sedimentary basins,0.39422125453662415,0.010811411844768266,36.463438836380206,9.677647315227943e-251
geo_Sedimentary/limestone,0.7974929613746136,0.02490416411230632,32.022474545954935,5.835516835762736e-200
geo_Volcanic/metamorphic,0.40374989785347354,0.006710294449849957,60.168730429184286,0.0
geo_Volcanic/plateau,0.39038020714965926,0.013694837884105764,28.50564646717978,1.651146193723325e-162
tect_Active NAF,0.3942212545366239,0.010811411844768266,36.46343883638018,9.677647315232348e-251
tect_Active collision,0.40374989785347326,0.00671029444984996,60.16873042918422,0.0
tect_Active extension,0.7653498611395991,0.012900795179265527,59.32578965129902,0.0
tect_Low,0.39038020714965943,0.013694837884105759,28.5056464671798,1.6511461937224793e-162
tect_Moderate,0.3895112515599146,0.007803078510946854,49.91763840559511,0.0
tect_Stable,0.38858672431126395,0.014733188190898373,26.374924373213307,3.33582750546504e-141
