fault_name,gap_start_km,gap_end_km,gap_length_km,earthquake_count,activity_ratio,gap_lat,gap_lon,slip_rate_mm_yr,max_expected_mag,risk_score
Kuzey Anadolu Fayı - Marmara Segmenti,18.380583544866127,36.761167089732254,18.380583544866127,0,0.0,40.717727272727274,29.53818181818182,24,7.4,24.0
Kuzey Anadolu Fayı - Tosya Segmenti,73.57770373175946,91.97212966469932,18.394425932939868,0,0.0,40.7,33.3,20,7.4,20.0
Kuzey Anadolu Fayı - Niksar Segmenti,86.09339983300268,103.31207979960323,17.218679966600547,0,0.0,40.50714285714285,36.1,18,7.3,18.0
Kuzey Anadolu Fayı - Marmara Segmenti,128.6640848140629,147.04466835892902,18.380583544866113,2,0.2588235294117647,40.54863636363636,28.25090909090909,24,7.4,17.788235294117648
Kuzey Anadolu Fayı - Marmara Segmenti,147.04466835892902,165.42525190379513,18.380583544866113,2,0.2588235294117647,40.52045454545455,28.036363636363635,24,7.4,17.788235294117648
Kuzey Anadolu Fayı - Marmara Segmenti,91.90291772433063,110.28350126919676,18.380583544866127,2,0.2588235294117647,40.605,28.68,24,7.4,17.788235294117648
Kuzey Anadolu Fayı - Erzincan Segmenti,57.458563536500506,76.61141804866735,19.15285451216684,1,0.1320754716981132,39.635,38.875,20,7.5,17.358490566037737
Kuzey Anadolu Fayı - Tosya Segmenti,36.78885186587973,55.18327779881959,18.39442593293986,1,0.1875,40.833333333333336,33.7,20,7.4,16.25
Kuzey Anadolu Fayı - Erzincan Segmenti,19.152854512166837,38.30570902433367,19.152854512166837,2,0.2641509433962264,39.683571428571426,39.31785714285714,20,7.5,14.716981132075473
Kuzey Anadolu Fayı - Erzincan Segmenti,114.91712707300101,134.06998158516785,19.15285451216684,2,0.2641509433962264,39.56214285714285,38.21071428571429,20,7.5,14.716981132075473
Doğu Anadolu Fayı - Erkenek Segmenti,51.57276336687653,68.76368448916871,17.19092112229218,10,0.23026315789473684,38.025,37.15,10,7.6,7.697368421052632
Fethiye-Burdur Fay Zonu,17.787762175683692,35.575524351367385,17.787762175683692,1,0.14545454545454545,36.6875,29.1875,5,7.2,4.2727272727272725
Fethiye-Burdur Fay Zonu,124.51433522978584,142.30209740546954,17.787762175683696,1,0.14545454545454545,37.4375,29.9375,5,7.2,4.2727272727272725
Fethiye-Burdur Fay Zonu,88.93881087841847,106.72657305410215,17.78776217568368,1,0.14545454545454545,37.1875,29.6875,5,7.2,4.2727272727272725
Büyük Menderes Grabeni Fayı,0.0,19.480379486796878,19.480379486796878,0,0.0,37.625,27.90625,4,7.0,4.0
Büyük Menderes Grabeni Fayı,58.44113846039063,77.92151794718751,19.480379486796878,0,0.0,37.775,28.54375,4,7.0,4.0
Büyük Menderes Grabeni Fayı,38.960758973593755,58.44113846039063,19.480379486796878,0,0.0,37.725,28.33125,4,7.0,4.0
Büyük Menderes Grabeni Fayı,19.480379486796878,38.960758973593755,19.480379486796878,0,0.0,37.675000000000004,28.118750000000002,4,7.0,4.0
Tuz Gölü Fay Zonu,0.0,19.148360532455555,19.148360532455555,0,0.0,38.083333333333336,33.02777777777778,1,7.0,1.0
Tuz Gölü Fay Zonu,19.148360532455555,38.29672106491111,19.148360532455555,0,0.0,38.25,33.083333333333336,1,7.0,1.0
Tuz Gölü Fay Zonu,38.29672106491111,57.445081597366666,19.148360532455555,0,0.0,38.416666666666664,33.138888888888886,1,7.0,1.0
Tuz Gölü Fay Zonu,57.445081597366666,76.59344212982222,19.148360532455555,0,0.0,38.583333333333336,33.19444444444444,1,7.0,1.0
Tuz Gölü Fay Zonu,95.74180266227778,114.89016319473333,19.148360532455555,0,0.0,38.916666666666664,33.30555555555556,1,7.0,1.0
